year,title,abstract,doi,url,source
2022,"A System of Systems Framework for Intelligence in Autonomy, Big Data Analytic, and Applications : Plenary Talk","Large data has been accumulating in all aspects of our lives for quite some time. Advances in sensor technology, the Internet, wireless communication, and inexpensive memory have all contributed to an explosion of “Big Data”. System of Systems (SoS) are integration of independent operatable and non-homogeneous legacy systems to achieve a higher goal than the sum of the parts. Today’s SoS are also contributing to the existence of unmanageable “Big Data”. Recent efforts have developed promising approach, called “Data Analytics”, which uses machine learning tools from statistical and soft computing (SC) such as principal component analysis (PCA), clustering, fuzzy logic, neuro-computing, evolutionary computation, Bayesian networks, deep architectures and deep learning, etc. to reduce the size of “Big Data” to a manageable size and apply these tools to a) extract information, b) build a knowledge base using the derived data, and c) eventually develop a nonparametric model for the “Big Data”. This keynote attempts to construct a bridge between SoS and Data Analytics to develop reliable models for such systems. A photovoltaic energy-forecasting problem of a micro grid SoS, traffic jams forecasting, brain disease prediction, and a system of autonomous vehicles will be offered for case studies. These tools will be used to extract a nonlinear model for a SoS-generated BIG DATA. Videos for autonomous vehicles will be shown.",10.1109/ICCC202255925.2022.9922854,,ieeeexplore
2008,From engineering to system engineering to system of systems engineering,"A discussion is given of typical paths, progressions, and perspectives concerning the evolution of an individual from being an engineer to system engineer to system of systems engineer. Presented are definitions of the disciplines; and minimal education, experience and perspectives deemed by the author as necessary to competently fill the engineering, system engineering, and system of systems engineering roles.",,,ieeeexplore; scopus; webofscience
2011,System of Systems Readiness Assessment,"Is this system still fit for purpose? This question becomes critical in a system of systems because many unannounced changes occur throughout the system content and context during its operational life. This challenge arises in multiple usage domains such as defense, national security, industrial, financial, commercial or personal. A system of systems readiness assessment capability must be devised by the systems engineering activity and rigorously vetted during system development, deployment and evolution. The authors describe a set of candidate capabilities and technologies which may enable a comprehensive, fast and trusted assessment capability. Furthermore such assessment capability may be extended to aid in highlighting system resiliency shortfalls, diagnosing failures, and vetting proposed changes to any constituent system.",10.1109/ICSEng.2011.71,https://ieeexplore.ieee.org/abstract/document/5482494/,ieeeexplore; scopus; googlescholar
2018,System of Systems for Tripwires Activation of Algorithms and Reasoning (STAAR) for Analysis of Mission Success,"The flood of data from Multi-Intelligence sources (e.g., air and space sensors, street cameras, and social media) is overwhelming mission operators who manually or semi-autonomously ingest and make decisions on these data. This data glut is driving the development of Systems of Systems (SoS) solutions that exhibit emergent behavior evolving to fully autonomous methods that allow end users to focus on critical data first in order to make timely decisions and assure mission success.",10.1109/SYSOSE.2018.8428742,,ieeeexplore; scopus; webofscience
2006,System of systems (SoS) engineering & architecture challenges in a net centric environment,"As the DOD moves through the brave new world of transformation in a NetCentric environment, the importance of understanding how system engineering needs to evolve to embrace this environment becomes more urgent. System of systems (SoS) in an environment dominated by applying NetCentric principles and influenced by our customers would, by its very nature, require us to redefine how we apply system engineering. This paper presents observations on what would influence and define the evolution of system engineering into the SoS environment. It highlights new competencies that would be needed in order to leverage SoS. Experimentation would be a key enabler to realize the impacts of SoS in order to understand its inherent emergent properties. What does this mean for classical system engineering as we know it today and SE of a SoS be that much different than SE for the systems? This paper examines these issues and implication on the vision for net centric operations (NCO) and net centric warfare (NCW)",10.1109/SYSOSE.2006.1652264,,ieeeexplore; scopus; webofscience
2019,System of Systems Architecture Modeling and Mission Reliability Analysis Based on DoDAF and Petri Net,"SUMMARY: System of Systems (SoS) is widely studied as a class of Cyber-Physical Systems. The traditional method of systems engineering has limitations in analyzing SoS characteristics, including interaction, high dimensionality, emergent behavior, evolutionary development, etc. Therefore, mission reliability analysis of SoS is increasingly important.",10.1109/RAMS.2019.8769028,https://ieeexplore.ieee.org/abstract/document/8769028/,ieeeexplore; scopus; webofscience; googlescholar
2007,Framework for Understanding and Shaping Systems of Systems The case of industry and infrastructure development in seaport regions,"A framework has been developed that enables actors to understand and shape industry-infrastructure system-of-systems in seaport regions. The framework connects knowledge engineering with the simulation of system-of-systems evolution. It consists of a system decomposition method using ontologies, a modular agent based model and a knowledge feedback process. The framework was developed and used in a study on fostering biobased cluster evolution in the Eemsdelta, the Netherlands. To support regional development authorities who must balance the interest of each company and the system-of-systems network metrics were developed and incorporated in the simulation. Use of the framework creates a socially accepted model for systems-of-systems analysis that can directly be converted into live simulations to visualize possible directions of its evolution, which results can be used to feedback to the knowledge process.",10.1109/SYSOSE.2007.4304238,,ieeeexplore
2017,A game theory-based development planning approach for weapon system-of-systems,"A development planning approach combining game theory and network model is proposed to address the strategy selection and evolution for weapons system-of-systems (WSoS) characterized by an iterative and competitive development process between countries. More specifically, the development planning framework, including game player, strategy definition, and constraints (e.g., time and money), is first described, in which combat network is constructed to present the structure and evolution of WSoS. Next, the selection process of development planning strategy is studied based on damage accumulation and mitigation related to WSoS confrontation. Then, a competitive coevolution algorithm (CEA), reflecting that WSoS evolves along with the strategy selection change, is designed to find the optimal development strategy. Last, an illustrative example is used to demonstrate the feasibility and validity of the proposed approach.",10.1109/SMC.2017.8122790,,ieeeexplore; scopus; webofscience
2012,System of Systems complexity and decision making,"Complexity in System of Systems (SoS) is a key factor in SoS decision making. This paper analyzes the main characteristics of SoS, especially its complexity in terms of monolithic emergence, component systems adaption and uncertainty in SoS evolution. It further discusses the effects of SoS complexity on SoS decision making. In light of SoS complexity, the paper figures out the major problems that need to be addressed in four areas, namely SoS adaption, abnormity analysis in SoS evolution, exploratory analysis of SoS capability and SoS simulation. In conclusion the paper proposes a preliminary SoS decision making model based on the analysis of SoS adaption.",10.1109/SYSoSE.2012.6384133,,ieeeexplore; scopus
2005,Research foundations for system of systems engineering,"System of systems engineering (SoSE) continues to evolve as a potentially promising response for analysis, design, and transformation of increasingly complex systems problems. The purpose of this paper is to establish critical foundations and offer a coherent framing for further research in SoSE. To achieve this purpose the paper is organized to: (1) introduce a contemporary perspective of SoSE, focused on identifying both convergence and divergence in the literature, (2) develop five logical levels that can help to understand divergence in SoSE and sharpen future research efforts, (3) articulate several of the critical research challenges that SoSE must address to be viable, and (4) identify a preliminary set of critical topical research areas for development of a more integrated research agenda for SoSE. The paper concludes with implications for close coupling of research and practice for the accelerated development of SoSE through an integrated research agenda.",10.1109/ICSMC.2005.1571561,https://ieeexplore.ieee.org/abstract/document/1571561/,ieeeexplore; scopus; webofscience; googlescholar
2012,A simulation System of Systems to assess military aircraft protection,"A simulation-based System of Systems (SoS), called a Virtual Proving Ground (VPG), is being developed as a comprehensive and robust approach to support aircraft protection engineering and training. For more than 20 years, laboratories and specialized equipment were developed and operated for the evaluation of aircraft self-protection. Most of these systems were originally designed on a standalone basis to answer specific questions. On the other hand, operational requests followed an ad-hoc process that did not allow traceability and knowledge management. As these systems are complementary, their integration came as a logical path to increase the capability. This paper presents an overview of the VPG SoS, including the individual systems, the common architecture framework and the services that are key to a comprehensive approach: collaborative tools and computer-assisted processes. The paper also introduces the SoS inner capability to evolve and discusses the benefits of the approach. The VPG links hardware-in-the-loop (HWIL) systems within a common virtual environment. The simulation includes not only services like time and error management, but also a robust execution engine that allows the execution of a broad variety of digital models. It was designed to facilitate reusability by flexible composition schemes and standardized interfaces. Like building blocks, the SoS allows the substitution of digital models with their HWIL counterparts. The decision to use a digital or hardware component must be based on the requirements for a specific level of fidelity or performance. The SoS extends beyond the sole integration of software and hardware systems. It also includes a set of collaborative tools with associated processes, and implements an overarching verification and validation methodology. The collaborative tools are developed to facilitate the communication and interaction, and bring a cultural change within the operational community. More than just a database or a portal, it unifies the way requests are managed by the stakeholders by clarifying the roles and responsibilities; it centralizes data from databases that were up to now located in different places; and finally, it greatly fosters knowledge management and robust problem solving within the organization.",10.1109/SysCon.2012.6189501,,ieeeexplore; scopus; webofscience
2007,The Changing Role of the Systems Engineer in a System of Systems (SOS) Environment,"In traditional Systems Engineering, the Systems Engineer acts as the overall system creator. Primarily through stakeholder interaction, requirements analysis, and architectural design, the Systems Engineering shapes and influences the system solution through specifications, top-down design, and bottoms-up integration and test. With the large-scale introduction of commercial-off-the-shelf (COTS) components, the Systems Engineer acts more like a composer. The top-down requirements and design activities need to be adjusted to account for the bottoms-up constraints imposed by the COTS technology. The System Engineer shapes and influences COTS-based developments through requirements modifications and negotiations, along with simultaneous system design, integration, and test. This paper explores the changing role of the Systems Engineer in today's complex system of systems (SoS) environment. We will use the analogies of conductor and choreographer to describe the System Engineering leadership challenges that exist in a SoS environment. Similar to a conductor, we will look at the set of activities that ensure the elements in the SoS work together in harmony. Similar to a choreographer, we will look at the set of activities that ensure the expressive nature of each of the SoS elements is fully realized, while still conforming to its overall objectives. Using these analogies, we will draw some conclusions for the evolving Systems Engineering role in a SoS environment. We will also explore which of these activities emerge as dominant in situations both with and without a lead SoS integrator.",10.1109/SYSTEMS.2007.374665,https://ieeexplore.ieee.org/abstract/document/4258870/,ieeeexplore; scopus; webofscience; googlescholar
2018,Admission Control and Resource Allocation for Distributed Services in System-of-Systems: Challenges and Potential Solutions,"System-of-Systems (SoS) are a paradigm that has been proposed to cope with the evolving new services in large scale systems that not only need extensive computing resources, but also may have extra-functional properties like stringent time requirements. In SoS, a complex task is typically divided into sub-tasks that have a lower complexity and can be performed by multiple distributed systems working independently from each other. However, the coordination between these systems is of paramount importance to achieve the required compound complex task. Admission control and resource allocation are two essential mechanisms needed to coordinate the distributed tasks among the systems. However, performing admission control and resource allocation in such distributed systems is challenging, because of the distributed nature of SoS. In this paper, the proposed SoS system architecture is described, then the process of admission control and resource allocation is discussed, while highlighting the potential challenges associated with this process and its solutions.",10.1109/SIES.2018.8442101,,ieeeexplore; scopus; webofscience
2007,Healthcare System of Systems,"Healthcare systems are very diverse, distributed and complex systems in nature. A healthcare system of systems (HSoS) can be defined as a collection of independent, large scale complex, distributed systems. HSoS exhibit operational and managerial independence, geographic distribution and evolutionary development. An SoS perspective is imperative in order to realize network centric healthcare operations. This paper discusses the different components of HSoS, presents concepts of network-centric healthcare and the World Health Information Grid (WHIG).",10.1109/SYSOSE.2007.4304283,https://ieeexplore.ieee.org/abstract/document/4304283/,ieeeexplore; scopus; webofscience; googlescholar
2013,Modeling of system of systems via data analytics — Case for “Big Data” in SoS,"Large data has been accumulating in all aspects of our lives for quite some time. Advances in sensor technology, the Internet, wireless communication, and inexpensive memory have all contributed to an explosion of “Big Data”. System of Systems (SoS) integrate independently operating, non-homogeneous systems to achieve a higher goal than the sum of the parts. Today's SoS are also contributing to the existence of unmanageable “Big Data”. Recent efforts have developed a promising approach, called “Data Analytics”, which uses statistical and computational intelligence (CI) tools such as principal component analysis (PCA), clustering, fuzzy logic, neuro-computing, evolutionary computation, Bayesian networks, etc. to reduce the size of “Big Data” to a manageable size and apply these tools to a) extract information, b) build a knowledge base using the derived data, and c) eventually develop a non-parametric model for the “Big Data”. This paper attempts to construct a bridge between SoS and Data Analytics to develop reliable models for such systems. A photovoltaic energy forecasting problem of a micro grid SoS will be offered here for a case study of this modeling relation.",10.1109/SYSoSE.2013.6575263,,ieeeexplore
2013,A criteria-based framework for establishing system of systems governance,"Net-centricity is forcing the evolution of system of systems (SoS). One aspect of SoS that has been essentially ignored is SoS governance. Governance is the set of rules, policies, and decision-making criteria that will guide the SoS to achieving its goals and objectives. In this paper, we join the attributes of governance practices found in the IT community with known SoS types and characteristics to develop a criteria-based framework for SoS governance.",10.1109/SysCon.2013.6549927,https://ieeexplore.ieee.org/abstract/document/6549927/,ieeeexplore; scopus; webofscience; googlescholar
2013,Immune multi-agent model using vaccine for cooperative air-defense system of systems for surface warship formation based on danger theory,"Aiming at the problem on cooperative air-defense of surface warship formation, this paper maps the cooperative air-defense system of systems (SoS) for surface warship formation (CASoSSWF) to the biological immune system (BIS) according to the similarity of the defense mechanism and characteristics between the CASoSSWF and the BIS, and then designs the models of components and the architecture for a monitoring agent, a regulating agent, a killer agent, a pre-warning agent and a communicating agent by making use of the theories and methods of the artificial immune system, the multi-agent system (MAS), the vaccine and the danger theory (DT). Moreover a new immune multi-agent model using vaccine based on DT (IMMUVBDT) for the cooperative air-defense SoS is advanced. The immune response and immune mechanism of the CASoSSWF are analyzed. The model has a capability of memory, evolution, commendable dynamic environment adaptability and self-learning, and embodies adequately the cooperative air-defense mechanism for the CA-SoSSWF. Therefore it shows a novel idea for the CASoSSWF which can provide conception models for a surface warship formation operation simulation system.",10.1109/JSEE.2013.00111,https://ieeexplore.ieee.org/abstract/document/6756016/,ieeeexplore; scopus; webofscience; googlescholar
2007,System-of-Systems Perspective and Exploratory Modeling to Support the Design of Adaptive Policy for Reducing Carbon Emission,"Reducing carbon emissions is needed to tackle climate change. However, despite the large uncertainties surrounding the issue, most policy design processes employ a predict-then-act approach. This paper applies a system-of-systems perspective and exploratory modeling method to support the design of an adaptive policy. Using a case in the Dutch residential sector, we use the SoS perspective as a way to decompose the policy issue into interdependent relevant policy systems. This representation of the policy system provides a framework to test a large number of hypotheses about the evolution of the system's behavior by way of computational experiments, which form the core of the exploratory modeling method. As some of the system uncertainties are resolved, policies am adapted so that policy goals can still be met. In particular, in a situation in which the realized emission level misses the target, a new set of conditions can be identified to bring the level back to the intended target.",10.1109/SYSOSE.2007.4304222,https://ieeexplore.ieee.org/abstract/document/4304222/,ieeeexplore; scopus; webofscience; googlescholar
2013,Social networks and crowdsourcing for stakeholder analysis in system of systems projects,"In system of systems engineering, stakeholders are individuals, groups or organizations that stand to gain or lose from the success or failure of a system of systems. Systems of systems pose unique problems for stakeholder analysis due to their evolutionary nature, emergent behavior, operational independence, managerial independence, and geographical distribution of their constituent systems. This paper proposes the use of social networks and crowdsourcing to identify and prioritize the stakeholders for system of systems projects. The proposed method crowdsources the stakeholders to recommend other stakeholders, builds a social network of stakeholders, and prioritizes stakeholders using social network measures. The paper describes the method, and discusses the strengths and limitations of applying the method in system of systems projects.",10.1109/SYSoSE.2013.6575235,https://ieeexplore.ieee.org/abstract/document/6575235/,ieeeexplore; scopus; webofscience; googlescholar
2008,Systems of Systems (SoSE) Engineering for the 21st Century Healthcare Enterprise,"This paper describes multiple important opportunities for applying system of system engineering (SoSE) concepts in the 21st Century healthcare enterprise. Throughout the world, populations are aging rapidly, which is creating unprecedented economic, social, political, and technical challenges that cannot be solved using past approaches. Healthcare today is terribly wasteful of labor, material, computer, and capital resources, and its high fatigue and error rates cause unacceptable human suffering daily. SoSE methodologies, including incremental modeling, simulation, verification, and validation can help create new healthcare enterprises that are not only more efficient and more humane, but are also more readily adapted to the endless evolution of science, society, and technology, and the equally endless and unpredictable emergent behaviors that all systems inevitably provoke.",10.1109/SYSTEMS.2008.4519013,,ieeeexplore; scopus
2018,Tool suite to support model based systems engineering-enabled system-of-systems analysis,"The complexity of aerospace systems requirements, analysis, design, and architecture puts these systems among those that can benefit the most from a Model-Based Systems Engineering approach. However, though there has been progress in connecting domain-based model specifications and simulation experiments, there is still a gap between Model-Based Systems Engineering and the implementation and use of tools and metrics for modeling and analysis of complex aerospace systems. Here, we build upon our prior System-of-System research to illustrate how a System-of-Systems Analytic Work Bench can be used in combination with Model-Based Systems Engineering to enhance the analysis and design of systems architectures. The Analytic Work Bench is a suite of tools for analysis of the behavior of complex systems and for comparison and evaluation of systems architectures. The tools in the Analytic Work Bench adopt a representation of Systems-of-Systems architecture as a network of interdependent systems, which lends itself to connection with various Model-Based Systems Engineering representations, for example, Functional Block Diagrams and SysML activity and parametric diagrams. For each method in the Analytic Work Bench we illustrate appropriate linking to Model-Based Systems Engineering representations, explaining how the methods can acquire part of the required information for their models from traditional Model-Based Systems Engineering methodology. We then show how results from the tools in the Analytic Work Bench enhance Model-Based Systems Engineering with quantitative analysis of complex systems and architectures, including evaluation of performance, criticalities, robustness, resilience, and evolution of the systems at various levels of abstraction.",10.1109/AERO.2018.8396642,https://ieeexplore.ieee.org/abstract/document/8396642/,ieeeexplore; scopus; webofscience; googlescholar
2017,Understanding evolution in systems of systems,"Based on a literature analysis, this paper examines the nature of evolution in Systems of Systems (SoS) by attempting to answer why, where and how change occurs in this new kind of complex systems as well as what unprecedented underlying challenges makes it difficult to manage. This paper gives special focus on how state-of-the-art research efforts are attempting to solve those challenges and ultimately aims to provide research directions towards making evolution in systems of systems a disciplined activity.",10.1109/SysEng.2017.8088283,,ieeeexplore; scopus; webofscience
2022,Coevolutionary Network Model for Efficient Collaboration in Systems-of-Systems,"Collaborative systems-of-systems (CSoSs) are defined by the Systems Engineering Body of Knowledge as groups of constituent systems that voluntarily work with each other toward a common goal. As the complexity and sociotechnical interactions of real systems increases, so too does our need to understand how to design and manage collaboration. The metric of collaboration efficiency (CE) is introduced as a measure of collaboration in any defined CSoS structure. To test the effect of constituent system parameters on CE, an agent-based model is developed that combines network evolution mechanisms (to model a system-of-systems) with evolutionary game theory (to model collaboration). Simulation results suggest that a reactive collaboration strategy or a reinforcement algorithm-based strategy converges to the highest CE in a CSoS, with 29.6% and 34.1%, respectively. The proposed approach and results allow conclusions about the best collaboration choices constituent systems should make when participating in CSoSs. Applicable to systems in energy, logistics, social organizations, infrastructure, and more, this research can improve the design and operation of systems in any CSoS.",10.1109/SOSE55472.2022.9812631,,ieeeexplore; scopus
2015,A Model-Based Approach for Requirements Engineering for Systems of Systems,"Model-based systems engineering (MBSE) is a discipline of systems engineering in which the model forms the heart of all the systems engineering activities and is the basis of many of the project artefacts. Systems modeling is no longer viewed as simply a “good idea” but is becoming an increasingly important part of any systems engineering project. The application of MBSE is becoming well understood at the systems level; however, there is a lack of research and subsequent industrial application at the system of systems (SoS) level. This paper presents a model-based approach to requirements engineering for SoSs. The approach is derived from an MBSE approach to requirements engineering and therefore represents current best practice in SoSs in terms of established standards and research. This paper builds upon and is an evolution of the initial foundations for model-based requirements engineering for systems of systems that were published in an earlier paper.",10.1109/JSYST.2014.2312051,https://ieeexplore.ieee.org/abstract/document/6805167/,ieeeexplore; scopus; webofscience; googlescholar
2021,Communication Oriented Modeling of Evolving Systems of Systems,"Systems of Systems (SoSs) are composed of systems characterized by operational and managerial independence, but that can perform tasks together that they could not do by themselves. Given their potential complexity, modeling and testing such systems can be a daunting task, which is repeated when any system is evolved into a new one, especially when SoSs pertain to different owners. We propose a framework for modeling SoSs using only observable communication properties and dataflow. In this paper, we propose a framework that supports SoS design and discuss how it can support the creation of complex use cases pertaining to multiple owners. We implemented a proof-of-concept for the framework that focuses on REST-based communication and combines design using the model-based engineering tool Papyrus, and verification of communication properties using the Uppaal model checker. We showcase our approach by designing a Bluetooth-driven tracker system, which uses smart devices' Bluetooth-IDs to analyze patterns in the stores that people visit.",10.1109/SOSE52739.2021.9497495,,ieeeexplore; scopus; webofscience
2016,Robust system portfolio modeling and solving in complex system of systems construction,"The establishment and development of the SoS project need to be carried out by considering the whole benefit of SoS rather than depend on the separate construction of each component system. With the diversification of the exterior environments and required missions, the SoS is confronted with continuous capability requirements (CRs) evolution and the robust capstone planning of the SoS under the changing capability is of great significance. Based on the capability-based thought, an Multi-stage Robust Stochastic Programming Model for Complex SoS Portfolio Decision is built to address problems of Complex SoS capstone planning and construction with dynamic CRs. With regard to the exponential increasing size issue of the decision variables with their dimension, a DE (Differential Evolution) algorithm is designed for system selection problem solving and supporting the complex SoS construction directly and effectively.",10.1109/ChiCC.2016.7554877,,ieeeexplore; scopus; webofscience
2018,On Systems of Systems Engineering: A Requirements Engineering Perspective and Research Agenda,"The emergence of Systems of Systems (SoSs) and Systems of Systems Engineering (SoSE) is largely driven by global societal needs including energy-water-food nexus, population demographics, global climate, integrated transport, security and social activity. However, due to their scale, structural and functional complexity and emergent properties, these global spanning Cyber-Physical Systems of Systems are becoming increasingly complex and more difficult for current requirements engineering (RE) practices to handle. In this paper, we firstly introduce SoSE as an emerging discipline and key characteristics of SoSs. We then highlight the challenges that the RE discipline must respond to. We discuss some weaknesses of current RE techniques and approaches to cope with the complexity of SoSs. We then argue that there is a need for the global RE community to evolve current RE approaches and to develop new ways of thinking, new RE capabilities and possibly a new RE science as a key mechanism for addressing requirements engineering complexities posed by Systems of Systems. We then outline a requirements engineering perspective and research agenda that identifies 'top-10' research themes informed by a cluster of four Systems of Systems Engineering projects funded by the European Commission's Horizon 2020 research programme.",10.1109/RE.2018.00021,https://ieeexplore.ieee.org/abstract/document/8491128/,ieeeexplore; scopus; webofscience; googlescholar
2007,Realizing a Generic Medical Image Repository for System of Systems,"Ever since medical images were digitized in the late 1970fs, there has been an explosion of diagnostic digital imaging techniques and procedures. Medical information systems have embraced the advances in technology to provide better health care for the patients and significant workflow improvements for the hospitals. This has led to a noteworthy evolution of medical information systems over the last few decades. From what used to be single stand alone modalities, the evolution has passed through cluster of modalities; multi modality clusters in a single hospital and has now reached a stage where in we have an enterprise network connecting many such hospitals thereby creating a system of systems. Medical image repositories form a critical subsystem in the medical systems of systems. They have a diverse role to play in any hospital starting from storing of electronic patient records and scanned medical images generated by individual modalities like X-Ray and MR to storing of data in an enterprise hospital network. This paper discusses the challenges faced by a medical image repository used in the context of a system of systems and how we have realized the image repository to handle these challenges",10.1109/ICCBSS.2007.28,,ieeeexplore; scopus; webofscience
2010,The study of guided emergent behavior in system of systems requirement analysis,"Emergent behavior is a core trait of SoSs. But the emergence cannot be predicted before its appearance. We propose a method which using Semi-autonomous Agent based simulation to detect the emergent behaviors of SoSs. Agent based Modeling and Simulation are available for the observation of emergent behaviors of SoSs. We propose the multi-agent based simulation methods to demonstrate the evolution of SoSs. Semi-autonomous Agents is applied to model the elements which are consists of SoSs. The framework of Parallel executive and feedback to real world is used to verify and validate the emergent properties which are useful to the SoSs or not. Through the comparation between real world executive results and simulation outcomes, we could regulate the parameters or adjust rules running in the SoSs and guide the emergent behavior of SoSs to the stakeholder's desire direction.",10.1109/SYSOSE.2010.5544033,https://ieeexplore.ieee.org/abstract/document/5544033/,ieeeexplore; scopus; googlescholar
2008,Systems of Systems: New challenges for maintenance and evolution,"Over the past decade, there has been a shift in software engineering practice away from the development of traditional stand-alone systems and toward large scale systems of systems (SoS). The movement toward SoS, in which there is often not a single organization in control, requires a change in a number of maintenance and evolution practices. This paper outlines the basic dimensions of a SoS, and traces its implications for software evolution and maintenance.",10.1109/FOSM.2008.4659258,https://ieeexplore.ieee.org/abstract/document/4659258/,ieeeexplore; scopus; webofscience; googlescholar
2021,A Model-Based Approach to Document a System-of-Systems,"The technical evolution enables the development and application of autonomous systems in various domains. In the on-road and off-road vehicle domains, autonomous vehicles are applied in different contexts. Autonomous cars are designed as single system solutions, while in other scenarios, multiple autonomous or semi-autonomous vehicles are integrated into a system-of-systems. We utilize a case from the earth-moving machinery domain, where a fleet of autonomous vehicles is used for transporting material in off-road environments. The traditional industrial development processes in the earth-moving machinery domain focus on single human-operated systems and lack clear support for autonomous system-of-systems. From our studies of industrial development of system-of-systems, we recognize the demand for guidance on how to document a system-of-systems. The goal of this work is to provide a framework using different model-based formalisms. As a structural background, we utilize the SafeSoS process, where each step specifies details about the targeted system-of-systems. Specifically, we apply model-based systems engineering to describe the structure and behavior of each SoS level. We utilize an industrial case to exemplify how model-based concepts can be applied to capture relevant information needed for designing the system-of-systems. This work provides guidelines for practitioners in developing safe system-of-systems.",10.1109/SysCon48628.2021.9591251,,ieeeexplore; scopus
2017,Revisiting “The Meaning of Of” as a Theory for Collaborative System of Systems,"At the 2006 IEEE International Conference on Systems of Systems Engineering, Boardman and Sauser presented a set of characteristics based on an integrative review of the literature. These characteristics are the foundation of the Boardman-Sauser system of systems (SoS) theory. We accept this theory as the basis of collaborative SoS and desire a means to validate this assertion. While numerous simulations have been published, the target SoS is usually a specific implementation. These specialized simulations produce results applicable primarily to the system under study but not necessarily SoS in general. Simulating the mathematical model of the Boardman-Sauser SoS theory in the form of an agent-based model produces results that can be compared with chemical reactions. This paper contends that the formation of molecules from atoms is an analog of systems forming any collaborative SoS, which we call our molecule organization model. The result is a supported logical argument that validates the Boardman-Sauser SoS theory as definitive of a generic SoS with behavior applicable to collaborative SoS. This paper seeks to provide a unique contribution to the SoS body of knowledge by increasing our understanding of collaboration in an SoS, so we may better understand their health, maintenance, replication, and evolution.",10.1109/JSYST.2015.2430755,https://ieeexplore.ieee.org/abstract/document/7110531/,ieeeexplore; googlescholar
2021,Evolutionary Algorithm for Incremental Scheduling in Systems of Systems with Real-Time Requirements,"Time-triggered Systems-of-Systems (SoS) promise to satisfy the real-time and dependability requirements of safety-relevant applications such as medical systems, smart manufacturing and defense systems. However, the time-triggered scheduling algorithms in the state-of-the-art were developed for monolithic systems and they do not support the requirements and constraints of SoS. Scheduling tasks and optimizing the resource allocation in SoS is more complex than in monolithic systems due to the autonomy of its constituting systems, the lack of central control, and no global information about the resources in different constituent systems.In this article, we propose a two-level interactive heuristic approach using a Genetic Algorithm (GA) to schedule real-time applications incrementally by adding them to the time-triggered SoS. We compute and deploy the schedule for each new SoS application at runtime after its arrival. Therefore, the limited communication and computational resources must be shared between different SoS applications released over time. By reducing the blocking time of shared resources, we can cope with the possible shortage of resources for future applications. Therefore, we develop a new resource allocation algorithm which creates more balance in the blocking times of shared resources and helps to satisfy future resource requests. We generate example scenarios to examine the schedulability of our new incremental scheduling algorithm. The experimental results show that the proposed optimization scheme compared to an incremental scheduler without blocking time considerations can find a better schedule for a sequence of applications.",10.1109/IECON48115.2021.9589124,,ieeeexplore; scopus; webofscience
2008,System-of-Systems Architectural Considerations for Complex Environments and Evolving Requirements,"Complex ""system-of-systems"" architectures are subject to a myriad of issues arising from the dynamic inter-operability these systems are intended to provide. Many of these issues can be addressed or avoided by considering the messaging interactions between system nodes prior to and during the construction of the component systems. Standardization of messages and interfaces is an ideal way to provide a consistent, vendor agnostic vehicle for interaction and interoperability of systems in this class of complex architectures.",10.1109/JSYST.2008.925972,https://ieeexplore.ieee.org/abstract/document/4595695/,ieeeexplore; scopus; webofscience; googlescholar
2018,A Multi-Level Data-Centric Model of System of Systems Engineering,"System of systems is a concept describing a large scale system consisting of component systems that are spread across multiple hierarchical levels where for each level, a component system can have multiple structures. Establishing an engineering model for system of systems is essential for representing operational and managerial independence of component systems and their interactions leading to emergent and evolutionary development of system of systems with enhanced composite capabilities. This article contributes to system of systems modeling of physical component systems and organizational component systems. We propose a data-centric model for supervision of system of systems. A concrete example is discussed composed of two cooperating component systems, an unmanned aerial vehicle and an intelligent autonomous road vehicle, in which the unmanned aerial vehicle acts as an external global positioning system sensor that supplies redundant navigation information to the intelligent autonomous road vehicle, to be able to safely maneuver in a confined space.",10.1109/ACIT.2018.8672676,,ieeeexplore; scopus; webofscience
2015,Introducing Meta-Requirements for Describing System of Systems,"Complex, evolutionary systems operating in an open world can be seen as a composition of components which interact each other in order to fulfill their requirements. Following this vision, Systems of Systems (SoSs) literature aims at supporting the life of such complex systems taking into account key viewpoints such as emergence, time, mobility, evolution, dynamicity. Although different attempts can be found in the literature to address mostly specific viewpoints separately, it is still missing a unifying approach to analyze the whole set of viewpoints and their relationships, based on the identification of meta-requirements that can be exploited to describe any System of Systems (SoS). To this end, we developed a unifying meta-requirements model to describe SoSs viewpoints and relate them. The model is meant to be used to support the derivation of the requirements for any SoS. This paper introduces the problem, and presents the main notions of the meta-requirements model with the support of a domain-specific scenario.",10.1109/HASE.2015.31,https://ieeexplore.ieee.org/abstract/document/7027426/,ieeeexplore; scopus; webofscience; googlescholar
